a,b,c,d,e,f,tag
-0.07874775,-0.19362384,-0.98684263, 0.07023513,-0.50818324,-0.2812028 ,-1
-0.3141153 ,-0.02829176,-0.86792636,-0.26010585,-0.14134598,-0.02382171,-1
-0.13540888,-0.10311353,-0.8776335 ,-0.58181083,-0.7197169 ,-0.21370143,-1
-0.39301878,-0.31558454,-0.84901386, 0.11691904,-0.57071936,-0.42834133,-1
-0.17280549,-0.2242595 ,-0.9058635 , 0.00285125,-0.00483751,-0.13428718,-1
 0.7308811 , 0.60061574,-0.9869755 ,-0.51693165, 0.09721637, 0.32111216,-1
 0.39422035, 0.12747955,-0.6698872 , 0.14043188,-0.4148662 ,-0.07505143,-1
-0.8724498 , 0.08254361,-0.876606  , 0.04630804,-0.4781977 ,-0.3123073 ,-1
 0.07158577,-0.23922187, 1.        , 0.20565128,-0.42371708, 0.80665374,-1
-0.6719444 , 0.4984926 ,-0.9729959 ,-0.38588548, 0.01578867, 0.01651204,-1
-0.04467124, 0.74093175,-0.83117896,-0.41408247, 0.38185823, 0.19495177,-1
 0.04488802,-0.26843822,-0.96535474,-0.10641122, 0.12510264, 0.05047631,-1
-0.08316368, 0.2520157 ,-0.8265731 , 0.00665736,-0.10754484,-0.18184513,-1
 0.50845146, 0.07633471,-0.47143143,-0.81375855, 0.20830011, 1.        ,-1
-0.71352375, 0.06343687,-0.99249095,-0.4328633 ,-0.07169676, 0.15123832,-1
-0.7388798 ,-0.10370654,-0.29329127, 0.06643474,-0.37094867, 0.2112602 ,-1
 0.08313668, 1.        ,-0.9720233 ,-0.5553179 , 0.29928768, 0.3549894 ,-1
 0.58701086,-0.30719292,-0.90876484,-0.5373419 ,-0.24324632, 0.0665611 ,-1
-0.32294655,-0.23214614,-0.6659514 , 0.04991543,-0.5528065 ,-0.54219794,-1
-0.6491573 ,-0.22901088,-0.5002749 ,-0.41245455, 0.42330027, 0.732764  ,-1
-0.22983927,-0.3335141 ,-0.9411659 ,-0.01188564,-0.34781718,-0.19414449,-1
-0.24032402, 0.34831142,-0.9091026 ,-0.47656316,-0.31694573,-0.13564694,-1
 0.6409552 ,-0.31094265,-0.95843846,-0.23191464,-0.19167197, 0.04625833,-1
-0.31638026,-0.11745423,-0.9765918 ,-0.48398465, 0.39096498, 0.18453002,-1
-0.27033442, 0.24605584,-0.7386805 , 0.22883296,-0.38776773,-0.24806917,-1
-0.03173876, 0.12358868,-0.92686766, 0.22236097,-0.37147427,-0.45564485,-1
 0.41783464, 0.04534173,-0.899271  ,-0.6183521 , 0.6394955 , 0.6563214 ,-1
-0.26125044,-0.0234943 ,-0.7970669 ,-0.29550034,-0.29098904, 0.35489   ,-1
 0.4210608 , 0.65117574,-0.9756249 , 0.07882881,-0.38873684,-0.32843548,-1
 0.10987043, 0.24131477,-0.876971  ,-0.7141509 ,-0.15278006, 0.12069762,-1
-0.84663236, 0.50026286,-0.9820651 ,-0.11022258,-0.39275074,-0.26588792,-1
-0.85211957, 0.40967453,-0.98966473, 0.13420725,-0.40771472,-0.28401047,-1
-0.1561963 , 0.51552653,-0.8436859 , 0.06308043,-0.4838673 ,-0.29211432,-1
-0.46122152, 0.21398664,-0.9266225 ,-0.09889638, 0.8587878 , 0.17579651,-1
 0.6840817 ,-0.43433475,-0.75125766, 0.10524654,-0.3763646 ,-0.15078408,-1
 0.17666614, 0.5156951 ,-0.335432  ,-0.2613778 , 0.20126271, 0.41453993,-1
-0.4122054 ,-0.27167338,-0.78869337,-0.58873254, 0.5199158 , 0.27928722,-1
 0.06193173, 0.01633632,-0.89129853,-0.08859569,-0.06305265, 0.04149032,-1
 0.3880266 ,-0.3271544 ,-0.85084546,-0.28266102,-0.17192006, 0.3077594 ,-1
 0.47437966,-0.34380233,-0.71689045,-0.02176934,-0.00249207,-0.14066488,-1
 0.618865  ,-0.91790956,-0.69441867, 0.74854004, 0.25482428,-0.41727942,-1
-0.42892647,-0.05318636,-0.494878  ,-0.21331316,-0.20717752, 0.5532088 ,-1
 0.11687791, 0.6920918 ,-0.98844415,-0.4449042 , 0.27046955, 0.26944256,-1
 0.25171638,-0.0943414 ,-0.8040858 , 0.00734735,-0.47244495,-0.3255781 ,-1
-0.08146727, 0.54759073,-0.88129884,-0.467739  , 0.234195  , 0.04892814,-1
-0.2605878 , 0.12905478,-0.12090462, 0.25672603,-0.22440803, 0.2327224 ,-1
-0.10422635, 0.76794434,-0.98914814, 0.1258626 ,-0.45091367,-0.27816743,-1
-0.5726887 , 0.2509569 ,-0.8520544 ,-0.45333827, 0.00851667, 0.12530875,-1
-0.55315506, 0.19065046,-0.692835  ,-0.3276084 ,-0.907779  ,-0.25044912,-1
 2.61075497e-01, 4.22942519e-01,-7.41244018e-01, 1.38738155e-02, 4.05524969e-01,-4.72830713e-01,1
 1.36575580e-01, 5.25065303e-01,-7.58629084e-01,-9.76932645e-02,-3.80799592e-01, 2.24333644e-01,1
 4.49317694e-02, 2.71823525e-01,-4.39811707e-01,-2.70633519e-01,-4.85321879e-02,-5.38180411e-01,1
-2.00921297e-03,-1.49387717e-02,-4.75881338e-01,-4.70108926e-01,-3.16496909e-01,-4.19818461e-01,1
-4.05874014e-01, 3.41428876e-01,-7.05352485e-01,-1.49293363e-01, 1.99646473e-01,-4.37223077e-01,1
-4.52419162e-01, 1.01966381e-01,-1.00000000e+00,-2.72501886e-01,-9.67248678e-02, 1.51463270e-01,1
-4.91230965e-01, 5.03791809e-01,-8.97104144e-01,-4.23713923e-01,-1.73319817e-01,-2.62431264e-01,1
-3.22638631e-01,-2.45270729e-02,-8.54773045e-01,-3.07265580e-01,-1.75282538e-01,-1.35797083e-01,1
-8.77635062e-01, 2.78842449e-02,-7.19567001e-01,-1.62488103e-01, 3.26184630e-01, 7.57502317e-02,1
 2.36641645e-01, 6.18999004e-02,-9.98313725e-01,-3.14632714e-01, 5.48596382e-02,-1.53454304e-01,1
 8.77208710e-02, 8.45053196e-02,-8.29785466e-01,-5.92872560e-01, 1.50585175e-03, 5.55061102e-02,1
